produit_id;nom_produit;categorie
P000284;Do;Alimentaire
P000285;Show;Loisir
P000286;Learn;Alimentaire
P000287;Guess;Électronique
P000288;War;Électronique
P000289;Trip;Maison
P000290;Discussion;Électronique
P000291;Senior;Maison
P000292;Deep;Maison
P000293;State;Loisir
P000294;Sing;Maison
P000295;Per;Alimentaire
P000296;Total;Loisir
P000297;Appear;Alimentaire
P000298;Paper;Électronique
P000299;Inside;Loisir
P000300;Sea;Textile
P000301;Perform;Loisir
P000302;Dinner;Loisir
P000303;Method;Électronique
P000304;Million;Loisir
P000305;Class;Électronique
P000306;Food;Loisir
P000307;Back;Alimentaire
P000308;There;Loisir
P000309;Single;Maison
P000310;Its;Loisir
P000311;Rule;Alimentaire
P000312;Recently;Loisir
P000313;Occur;Maison
P000314;Try;Maison
P000315;However;Électronique
P000316;Use;Maison
P000317;Consider;Électronique
P000318;Practice;Alimentaire
P000319;Hundred;Électronique
P000320;Magazine;Alimentaire
P000321;Laugh;Textile
P000322;Age;Textile
P000323;Discover;Alimentaire
P000324;Worker;Maison
P000325;Rise;Loisir
P000326;Material;Textile
P000327;Spring;Loisir
P000328;Wall;Textile
P000329;Recently;Maison
P000330;Could;Loisir
P000331;Kid;Textile
P000332;Score;Textile
P000333;Wall;Loisir
P000334;We;Alimentaire
P000335;Difficult;Loisir
P000336;Those;Alimentaire
P000337;Painting;Électronique
P000338;Product;Maison
P000339;That;Électronique
P000340;Call;Maison
P000341;Management;Électronique
P000342;Him;Textile
P000343;Court;Électronique
P000344;Success;Loisir
P000345;Nearly;Alimentaire
P000346;Question;Textile
P000347;Really;Alimentaire
P000348;Form;Électronique
P000349;Player;Loisir
P000350;Continue;Électronique
P000351;Listen;Loisir
P000352;Like;Électronique
P000353;Cell;Loisir
P000354;Voice;Alimentaire
P000355;Dark;Loisir
P000356;Interest;Électronique
P000357;Bill;Électronique
P000358;Later;Textile
P000359;Out;Électronique
P000360;Great;Électronique
P000361;Me;Alimentaire
P000362;Protect;Textile
P000363;Into;Textile
P000364;Young;Électronique
P000365;Strong;Textile
P000366;Entire;Électronique
P000367;Career;Maison
P000368;Account;Maison
P000369;Effect;Maison
P000370;Human;Alimentaire
P000371;Some;Textile
P000372;Mission;Loisir
P000373;Give;Maison
P000374;May;Loisir
P000375;Understand;Maison
P000376;Indicate;Textile
P000377;During;Électronique
P000378;Quite;Loisir
P000379;Produce;Maison
P000380;Position;Électronique
P000381;Know;Maison
P000382;Sometimes;Alimentaire
P000383;Include;Maison
P000384;Including;Maison
P000385;Sea;Électronique
P000386;Call;Loisir
P000387;Return;Textile
P000388;Fill;Maison
P000389;Detail;Électronique
P000390;City;Électronique
P000391;Everybody;Électronique
P000392;Maintain;Maison
P000393;It;Alimentaire
P000394;Add;Textile
P000395;Player;Textile
P000396;Same;Loisir
P000397;Section;Loisir
P000398;Example;Loisir
P000399;Hit;Électronique
P000400;Voice;Maison
P000401;Economy;Textile
P000402;Practice;Maison
P000403;Specific;Loisir
P000404;Expect;Maison
P000405;Contain;Loisir
P000406;Appear;Maison
P000407;Whatever;Électronique
P000408;Why;Électronique
P000409;Or;Électronique
P000410;Wall;Loisir
P000411;Claim;Textile
P000412;Ask;Loisir
P000413;Attack;Maison
P000414;Significant;Électronique
P000415;Television;Loisir
P000416;Dream;Maison
P000417;Message;Loisir
P000418;Ready;Maison
P000419;Former;Textile
P000420;Newspaper;Maison
P000421;Draw;Loisir
P000422;Painting;Alimentaire
P000423;Indicate;Électronique
P000424;Join;Alimentaire
P000425;From;Textile
P000426;Stage;Textile
P000427;By;Maison
P000428;Music;Électronique
P000429;Send;Textile
P000430;Him;Électronique
P000431;Outside;Électronique
P000432;This;Maison
P000433;Brother;Textile
P000434;Worry;Maison
P000435;Image;Alimentaire
P000436;Weight;Maison
P000437;Show;Maison
P000438;Magazine;Textile
P000439;Glass;Électronique
P000440;Thus;Textile
P000441;Position;Maison
P000442;For;Loisir
P000443;Weight;Électronique
P000444;Hold;Maison
P000445;Which;Loisir
P000446;These;Alimentaire
P000447;Late;Électronique
P000448;Relate;Textile
P000449;Create;Maison
P000450;Past;Alimentaire
P000451;Century;Électronique
P000452;Around;Maison
P000453;Political;Loisir
P000454;Stop;Électronique
P000455;Design;Loisir
P000456;Process;Électronique
P000457;Number;Alimentaire
P000458;Final;Électronique
P000459;Story;Alimentaire
P000460;Begin;Maison
P000461;Early;Alimentaire
P000462;Firm;Maison
P000463;Other;Maison
P000464;Page;Loisir
P000465;Themselves;Loisir
P000466;Sister;Textile
P000467;Ahead;Électronique
P000468;Skill;Textile
P000469;True;Textile
P000470;Special;Loisir
P000471;Weight;Maison
P000472;Industry;Alimentaire
P000473;Radio;Électronique
P000474;Size;Électronique
P000475;Station;Maison
P000476;Open;Alimentaire
P000477;Identify;Loisir
P000478;Economy;Loisir
P000479;Special;Textile
P000480;Us;Textile
P000481;Cup;Textile
P000482;Spring;Loisir
P000483;Forward;Alimentaire
P000484;Song;Électronique
P000485;Force;Électronique
P000486;Production;Alimentaire
P000487;Item;Maison
P000488;Economic;Maison
P000489;Practice;Loisir
P000490;Century;Loisir
P000491;Medical;Alimentaire
P000492;Program;Maison
P000493;Audience;Électronique
P000494;Once;Loisir
P000495;Factor;Électronique
P000496;Record;Électronique
P000497;Her;Électronique
P000498;Avoid;Textile
P000499;Have;Maison
P000500;Anything;Alimentaire
P000501;Black;Maison
P000502;Challenge;Électronique
P000503;Range;Électronique
P000504;Church;Maison
P000505;Party;Textile
P000506;Work;Alimentaire
P000507;Remember;Alimentaire
P000508;Study;Maison
P000509;Various;Maison
P000510;Two;Loisir
P000511;Tend;Maison
P000512;Short;Maison
P000513;Could;Électronique
P000514;Create;Loisir
P000515;Black;Alimentaire
P000516;Nor;Loisir
P000517;Where;Maison
P000518;Cause;Maison
P000519;Build;Textile
P000520;Turn;Alimentaire
P000521;Rather;Textile
P000522;Environmental;Textile
P000523;Argue;Loisir
P000524;Population;Textile
P000525;Pressure;Textile
P000526;For;Textile
P000527;After;Électronique
P000528;Crime;Alimentaire
P000529;Cup;Alimentaire
P000530;Hope;Maison
P000531;Far;Maison
P000532;Feeling;Maison
P000533;City;Maison
P000534;From;Textile
P000535;Other;Électronique
P000536;Interesting;Loisir
P000537;Example;Électronique
P000538;Include;Électronique
P000539;Dark;Textile
P000540;Radio;Électronique
P000541;Tough;Loisir
P000542;Personal;Textile
P000543;American;Textile
P000544;Mouth;Électronique
P000545;Age;Loisir
P000546;As;Loisir
P000547;Since;Maison
P000548;Seem;Alimentaire
P000549;Base;Loisir
P000550;Dark;Alimentaire
P000551;We;Loisir
P000552;Conference;Maison
P000553;Line;Alimentaire
P000554;I;Loisir
P000555;Area;Loisir
P000556;Nature;Textile
P000557;Only;Textile
P000558;Lose;Maison
P000559;American;Textile
P000560;Nice;Alimentaire
P000561;Vote;Textile
P000562;Interview;Électronique
P000563;Participant;Maison
P000564;Several;Électronique
P000565;Difficult;Textile
P000566;Computer;Alimentaire
P000567;Crime;Électronique
P000568;Leave;Loisir
P000569;Dark;Alimentaire
P000570;Interview;Textile
P000571;Local;Textile
P000572;Season;Électronique
P000573;International;Alimentaire
P000574;Garden;Loisir
P000575;Sound;Alimentaire
P000576;Budget;Textile
P000577;Different;Alimentaire
P000578;Card;Textile
P000579;Rather;Alimentaire
P000580;Very;Textile
P000581;History;Alimentaire
P000582;Perhaps;Maison
P000583;Few;Maison
P000584;Foot;Alimentaire
P000585;Year;Électronique
P000586;Bank;Loisir
P000587;Ready;Textile
P000588;These;Textile
P000589;Eight;Alimentaire
P000590;Plant;Électronique
P000591;As;Électronique
P000592;Scene;Alimentaire
P000593;Understand;Maison
P000594;Serious;Alimentaire
P000595;Wall;Maison
P000596;Song;Maison
P000597;Message;Loisir
P000598;Couple;Alimentaire
P000599;Other;Maison
P000600;Find;Textile
P000601;Nor;Alimentaire
P000602;Size;Électronique
P000603;Make;Alimentaire
P000604;Chance;Maison
P000605;Full;Loisir
P000606;Apply;Alimentaire
P000607;Feel;Loisir
P000608;Our;Maison
P000609;Rest;Loisir
P000610;Pattern;Électronique
P000611;Rise;Textile
P000612;Nor;Électronique
P000613;House;Électronique
P000614;About;Textile
P000615;New;Électronique
P000616;Sense;Textile
P000617;Sport;Maison
P000618;Choose;Électronique
P000619;Improve;Maison
P000620;Rule;Textile
P000621;Wind;Loisir
P000622;Sport;Loisir
P000623;Set;Alimentaire
P000624;Effort;Loisir
P000625;Such;Électronique
P000626;Much;Maison
P000627;Place;Maison
P000628;Citizen;Alimentaire
P000629;Pretty;Textile
P000630;Book;Textile
P000631;Industry;Loisir
P000632;Almost;Maison
P000633;You;Loisir
P000634;Tend;Loisir
P000635;Spring;Maison
P000636;Up;Électronique
P000637;Could;Textile
P000638;Do;Maison
P000639;According;Électronique
P000640;Institution;Textile
P000641;Future;Maison
P000642;Throughout;Textile
P000643;Then;Électronique
P000644;Bill;Maison
P000645;Enter;Électronique
P000646;Set;Alimentaire
P000647;School;Loisir
P000648;Research;Loisir
P000649;Line;Loisir
P000650;Help;Textile
P000651;Buy;Loisir
P000652;Campaign;Maison
P000653;Will;Électronique
P000654;Relationship;Électronique
P000655;Political;Alimentaire
P000656;Sort;Loisir
P000657;Republican;Électronique
P000658;Agent;Textile
P000659;Mrs;Textile
P000660;Tree;Maison
P000661;Recently;Maison
P000662;Voice;Loisir
P000663;Spend;Textile
P000664;Close;Électronique
P000665;Establish;Loisir
P000666;Memory;Maison
P000667;Cultural;Textile
P000668;Relationship;Alimentaire
P000669;Argue;Alimentaire
P000670;Cut;Textile
P000671;Second;Textile
P000672;Week;Électronique
P000673;Understand;Électronique
P000674;Six;Loisir
P000675;Ok;Alimentaire
P000676;West;Maison
P000677;Huge;Électronique
P000678;Me;Textile
P000679;Ready;Alimentaire
P000680;Probably;Maison
P000681;Central;Maison
P000682;Mother;Maison
P000683;Democratic;Loisir
P000684;Easy;Textile
P000685;Role;Alimentaire
P000686;Purpose;Alimentaire
P000687;Recently;Électronique
P000688;Face;Électronique
P000689;Reality;Électronique
P000690;Matter;Textile
P000691;Behind;Maison
P000692;Know;Alimentaire
P000693;Style;Maison
P000694;Meet;Alimentaire
P000695;Easy;Loisir
P000696;Ago;Électronique
P000697;Find;Alimentaire
P000698;View;Textile
P000699;Interest;Textile
P000700;Draw;Loisir
P000701;Serious;Maison
P000702;Quickly;Loisir
P000703;Offer;Alimentaire
P000704;Marriage;Alimentaire
P000705;Fire;Textile
P000706;Hand;Alimentaire
P000707;Finally;Électronique
P000708;Large;Maison
P000709;Focus;Alimentaire
P000710;Price;Loisir
P000711;Until;Loisir
P000712;Build;Alimentaire
P000713;Certainly;Textile
P000714;Perhaps;Électronique
P000715;Order;Textile
P000716;Challenge;Électronique
P000717;Life;Loisir
P000718;Family;Alimentaire
P000719;Investment;Loisir
P000720;Teacher;Maison
P000721;Whether;Maison
P000722;Score;Alimentaire
P000723;Part;Maison
P000724;Forward;Alimentaire
P000725;Sea;Loisir
P000726;Real;Loisir
P000727;When;Textile
P000728;Without;Alimentaire
P000729;Win;Alimentaire
P000730;Ten;Textile
P000731;Simply;Électronique
P000732;Company;Maison
P000733;Within;Loisir
P000734;Seek;Maison
P000735;Design;Maison
P000736;First;Électronique
P000737;Its;Maison
P000738;Their;Alimentaire
P000739;On;Électronique
P000740;Suddenly;Loisir
P000741;Traditional;Alimentaire
P000742;Third;Électronique
P000743;Clearly;Loisir
P000744;Simple;Maison
P000745;Best;Électronique
P000746;You;Maison
P000747;Almost;Maison
P000748;Contain;Électronique
P000749;Station;Alimentaire
P000750;Tax;Textile
P000751;Then;Électronique
P000752;Everyone;Textile
P000753;Within;Électronique
P000754;Quality;Textile
P000755;Song;Textile
P000756;Wrong;Textile
P000757;Different;Loisir
P000758;Fear;Maison
P000759;Accept;Maison
P000760;Information;Maison
P000761;Customer;Maison
P000762;Five;Textile
P000763;Any;Électronique
P000764;Certainly;Textile
P000765;Room;Électronique
P000766;Tree;Textile
P000767;Action;Alimentaire
P000768;Your;Loisir
P000769;Myself;Maison
P000770;Miss;Maison
P000771;Different;Loisir
P000772;Front;Maison
P000773;Education;Textile
P000774;Lead;Loisir
P000775;Similar;Électronique
P000776;Statement;Loisir
P000777;Myself;Maison
P000778;Crime;Électronique
P000779;Ten;Maison
P000780;It;Électronique
P000781;Coach;Alimentaire
P000782;Traditional;Loisir
P000783;Enjoy;Textile
P000784;Occur;Alimentaire
P000785;Effect;Loisir
P000786;Interview;Électronique
P000787;Agency;Électronique
P000788;Culture;Maison
P000789;Economy;Électronique
P000790;Information;Alimentaire
P000791;A;Électronique
P000792;Perform;Textile
P000793;Particular;Loisir
P000794;Newspaper;Loisir
P000795;Ago;Textile
P000796;Society;Maison
P000797;Lead;Maison
P000798;Guy;Textile
P000799;Page;Électronique
P000800;Base;Électronique
P000801;Interesting;Électronique
P000802;Month;Électronique
P000803;For;Électronique
P000804;Foot;Électronique
P000805;Bag;Textile
P000806;Discussion;Maison
P000807;Easy;Alimentaire
P000808;Truth;Textile
P000809;Doctor;Maison
P000810;Here;Électronique
P000811;Market;Textile
P000812;Total;Électronique
P000813;Pressure;Textile
P000814;Door;Alimentaire
P000815;Over;Loisir
P000816;Lawyer;Textile
P000817;Contain;Maison
P000818;Early;Électronique
P000819;Else;Alimentaire
P000820;Live;Électronique
P000821;Everyone;Maison
P000822;Stage;Électronique
P000823;Prevent;Maison
P000824;My;Électronique
P000825;Write;Loisir
P000826;War;Électronique
P000827;Paper;Maison
P000828;Remember;Électronique
P000829;Full;Alimentaire
P000830;Arrive;Alimentaire
P000831;Position;Loisir
P000832;Read;Maison
P000833;Final;Loisir
P000834;Management;Électronique
P000835;Try;Maison
P000836;Section;Électronique
P000837;Must;Électronique
P000838;May;Maison
P000839;Responsibility;Électronique
P000840;Majority;Textile
P000841;Animal;Électronique
P000842;Ok;Alimentaire
P000843;Yeah;Maison
P000844;Outside;Maison
P000845;Letter;Loisir
P000846;Yard;Loisir
P000847;Space;Maison
P000848;Strategy;Alimentaire
P000849;Soon;Alimentaire
P000850;Coach;Textile
P000851;Table;Alimentaire
P000852;Anyone;Alimentaire
P000853;Thing;Alimentaire
P000854;Rock;Alimentaire
P000855;Discover;Textile
P000856;Member;Loisir
P000857;Lawyer;Loisir
P000858;Into;Maison
P000859;Fill;Textile
P000860;School;Alimentaire
P000861;End;Électronique
P000862;Contain;Électronique
P000863;Tv;Électronique
P000864;Call;Textile
P000865;Firm;Électronique
P000866;Garden;Textile
P000867;Arm;Textile
P000868;Believe;Textile
P000869;Forget;Alimentaire
P000870;Type;Textile
P000871;Sea;Maison
P000872;Guess;Alimentaire
P000873;Today;Loisir
P000874;Born;Électronique
P000875;Exist;Loisir
P000876;Feel;Loisir
P000877;Question;Alimentaire
P000878;Particular;Textile
P000879;Possible;Alimentaire
P000880;Degree;Loisir
P000881;Account;Électronique
P000882;As;Loisir
P000883;Charge;Électronique
P000884;Quality;Textile
P000885;Probably;Loisir
P000886;Of;Textile
P000887;Guy;Textile
P000888;Task;Loisir
P000889;Approach;Loisir
P000890;Turn;Loisir
P000891;Read;Loisir
P000892;Military;Textile
P000893;Since;Électronique
P000894;Deep;Loisir
P000895;Institution;Électronique
P000896;Individual;Alimentaire
P000897;Hold;Électronique
P000898;Run;Électronique
P000899;Card;Textile
P000900;Modern;Loisir
P000901;Work;Textile
P000902;She;Loisir
P000903;Small;Électronique
P000904;Could;Maison
P000905;Per;Maison
P000906;Pm;Loisir
P000907;Game;Alimentaire
P000908;Per;Loisir
P000909;Picture;Maison
P000910;Experience;Alimentaire
P000911;Just;Alimentaire
P000912;Behind;Loisir
P000913;Pretty;Loisir
P000914;Term;Maison
P000915;Mr;Loisir
P000916;The;Textile
P000917;Affect;Alimentaire
P000918;Once;Loisir
P000919;Nor;Maison
P000920;Remain;Alimentaire
P000921;Stop;Loisir
P000922;Place;Électronique
P000923;Part;Maison
P000924;According;Alimentaire
P000925;Child;Maison
P000926;Growth;Textile
P000927;Set;Alimentaire
P000928;Sell;Loisir
P000929;Late;Loisir
P000930;Affect;Textile
P000931;Answer;Électronique
P000932;Together;Électronique
P000933;Economic;Loisir
P000934;Mrs;Textile
P000935;Arrive;Électronique
P000936;Without;Alimentaire
P000937;Process;Maison
P000938;Style;Loisir
P000939;Simply;Électronique
P000940;Make;Maison
P000941;Share;Maison
P000942;Almost;Maison
P000943;Finish;Électronique
P000944;Able;Maison
P000945;Catch;Textile
P000946;Grow;Maison
P000947;Address;Loisir
P000948;Out;Loisir
P000949;Ten;Textile
P000950;Onto;Alimentaire
P000951;Item;Alimentaire
P000952;Require;Maison
P000953;Cost;Loisir
P000954;Administration;Alimentaire
P000955;Open;Loisir
P000956;Pull;Alimentaire
P000957;Peace;Textile
P000958;Option;Loisir
P000959;Game;Alimentaire
P000960;Key;Alimentaire
P000961;Level;Textile
P000962;Trade;Textile
P000963;Still;Alimentaire
P000964;Research;Électronique
P000965;Up;Loisir
P000966;Argue;Alimentaire
P000967;During;Textile
P000968;Hand;Alimentaire
P000969;Walk;Loisir
P000970;Add;Alimentaire
P000971;Want;Alimentaire
P000972;Manage;Loisir
P000973;Prevent;Maison
P000974;Red;Alimentaire
P000975;Position;Électronique
P000976;Also;Textile
P000977;Traditional;Électronique
P000978;Movie;Loisir
P000979;Less;Textile
P000980;Letter;Électronique
P000981;Class;Textile
P000982;Suggest;Loisir
P000983;Event;Loisir
P000984;Behavior;Loisir
P000985;Car;Loisir
P000986;Table;Électronique
P000987;Want;Alimentaire
P000988;Individual;Alimentaire
P000989;Film;Alimentaire
P000990;Among;Textile
P000991;Receive;Textile
P000992;Fear;Textile
P000993;Happen;Loisir
P000994;On;Maison
P000995;Professional;Alimentaire
P000996;Commercial;Textile
P000997;Like;Loisir
P000998;Operation;Électronique
P000999;Save;Maison
P001000;Either;Maison
P001001;Region;Alimentaire
P001002;Audience;Textile
P001003;Family;Électronique
P001004;Structure;Électronique
P001005;Together;Maison
P001006;Right;Électronique
P001007;Main;Loisir
P001008;Prepare;Textile
P001009;Turn;Maison
P001010;Language;Électronique
P001011;Line;Loisir
P001012;Minute;Loisir
P001013;Particular;Textile
P001014;Million;Électronique
P001015;Pretty;Textile
P001016;Learn;Loisir
P001017;These;Alimentaire
P001018;Before;Textile
P001019;Class;Électronique
P001020;Consumer;Loisir
P001021;Edge;Maison
P001022;Consider;Maison
P001023;Concern;Maison
P001024;Perhaps;Loisir
P001025;Task;Électronique
P001026;Study;Alimentaire
P001027;Kind;Maison
P001028;Bill;Alimentaire
P001029;Exactly;Textile
P001030;Small;Loisir
P001031;Cause;Électronique
P001032;Mr;Électronique
P001033;Attorney;Alimentaire
P001034;Million;Loisir
P001035;Maybe;Électronique
P001036;Politics;Textile
P001037;Treatment;Loisir
P001038;Current;Électronique
P001039;Much;Alimentaire
P001040;Employee;Alimentaire
P001041;Follow;Maison
P001042;Win;Électronique
P001043;Four;Maison
P001044;Certainly;Textile
P001045;Little;Alimentaire
P001046;Score;Électronique
P001047;Call;Alimentaire
P001048;Notice;Textile
P001049;Concern;Loisir
P001050;Career;Alimentaire
P001051;Brother;Loisir
P001052;To;Loisir
P001053;Region;Électronique
P001054;Answer;Loisir
P001055;Time;Maison
P001056;Inside;Textile
P001057;Goal;Loisir
P001058;Option;Électronique
P001059;Affect;Loisir
P001060;On;Loisir
P001061;Along;Loisir
P001062;Head;Textile
P001063;Story;Loisir
P001064;Option;Électronique
P001065;Walk;Textile
P001066;School;Textile
P001067;Agent;Maison
P001068;Allow;Textile
P001069;Thought;Textile
P001070;Second;Loisir
P001071;Carry;Textile
P001072;Discuss;Alimentaire
P001073;Country;Textile
P001074;Scene;Loisir
P001075;For;Maison
P001076;Interview;Loisir
P001077;Describe;Alimentaire
P001078;Only;Électronique
P001079;Class;Textile
P001080;Assume;Électronique
P001081;Talk;Électronique
P001082;Picture;Alimentaire
P001083;Business;Loisir
P001084;Step;Loisir
P001085;People;Loisir
P001086;Financial;Électronique
P001087;Claim;Loisir
P001088;Bag;Loisir
P001089;Poor;Textile
P001090;Rather;Maison
P001091;Institution;Loisir
P001092;Field;Maison
P001093;Though;Électronique
P001094;Indeed;Maison
P001095;Yard;Électronique
P001096;Direction;Alimentaire
P001097;Discuss;Maison
P001098;Pressure;Alimentaire
P001099;Choice;Maison
P001100;Mention;Textile
P001101;Girl;Textile
P001102;Way;Alimentaire
P001103;Across;Textile
P001104;Direction;Loisir
P001105;Record;Textile
P001106;Suddenly;Électronique
P001107;Sign;Électronique
P001108;Beat;Textile
P001109;Range;Électronique
P001110;Price;Textile
P001111;Personal;Maison
P001112;Air;Loisir
P001113;Huge;Loisir
