incident_id;commande_id;type_incident;gravite
I000178;CMD039171;Détérioration;Élevée
I000179;CMD046618;Détérioration;Élevée
I000180;CMD052577;Retard;Moyenne
I000181;CMD055928;Détérioration;Élevée
I000182;CMD077789;Perte;Moyenne
I000183;CMD074790;Détérioration;Faible
I000184;CMD082292;Détérioration;Moyenne
I000185;CMD069649;Retard;Faible
I000186;CMD052038;Retard;Faible
I000187;CMD036724;Autre;Faible
I000188;CMD042972;Perte;Faible
I000189;CMD054282;Autre;Élevée
I000190;CMD018717;Retard;Élevée
I000191;CMD016845;Perte;Élevée
I000192;CMD057195;Perte;Moyenne
I000193;CMD016325;Retard;Moyenne
I000194;CMD093233;Autre;Faible
I000195;CMD004857;Retard;Moyenne
I000196;CMD041537;Retard;Moyenne
I000197;CMD091366;Détérioration;Faible
I000198;CMD055914;Retard;Faible
I000199;CMD073583;Détérioration;Élevée
I000200;CMD086917;Retard;Moyenne
I000201;CMD043474;Détérioration;Élevée
I000202;CMD022425;Retard;Moyenne
I000203;CMD065516;Détérioration;Moyenne
I000204;CMD088107;Détérioration;Moyenne
I000205;CMD072252;Détérioration;Élevée
I000206;CMD026282;Retard;Faible
I000207;CMD024606;Retard;Élevée
I000208;CMD094799;Retard;Élevée
I000209;CMD092949;Retard;Faible
I000210;CMD076307;Retard;Élevée
I000211;CMD081591;Détérioration;Moyenne
I000212;CMD046679;Autre;Élevée
I000213;CMD058625;Retard;Moyenne
I000214;CMD000216;Autre;Moyenne
I000215;CMD003390;Détérioration;Élevée
I000216;CMD045314;Autre;Faible
I000217;CMD042430;Autre;Faible
I000218;CMD065681;Autre;Élevée
I000219;CMD028701;Retard;Moyenne
I000220;CMD098189;Perte;Moyenne
I000221;CMD080208;Perte;Élevée
I000222;CMD063910;Perte;Élevée
I000223;CMD014680;Autre;Élevée
I000224;CMD017584;Retard;Élevée
I000225;CMD010667;Détérioration;Moyenne
I000226;CMD002369;Autre;Élevée
I000227;CMD069113;Autre;Moyenne
I000228;CMD096274;Détérioration;Élevée
I000229;CMD013683;Autre;Moyenne
I000230;CMD082877;Retard;Faible
I000231;CMD047319;Retard;Élevée
I000232;CMD069178;Autre;Élevée
I000233;CMD011418;Retard;Moyenne
I000234;CMD039392;Perte;Élevée
I000235;CMD006288;Perte;Élevée
I000236;CMD027882;Retard;Élevée
I000237;CMD021132;Retard;Moyenne
I000238;CMD088061;Autre;Élevée
I000239;CMD077796;Perte;Faible
I000240;CMD047978;Autre;Élevée
I000241;CMD095440;Autre;Élevée
I000242;CMD072560;Détérioration;Faible
I000243;CMD067466;Détérioration;Élevée
I000244;CMD005773;Autre;Faible
I000245;CMD029629;Retard;Moyenne
I000246;CMD029431;Retard;Élevée
I000247;CMD045481;Perte;Moyenne
I000248;CMD014968;Retard;Faible
I000249;CMD081672;Retard;Moyenne
I000250;CMD068985;Perte;Élevée
I000251;CMD035873;Autre;Élevée
I000252;CMD037291;Perte;Moyenne
I000253;CMD023574;Détérioration;Moyenne
I000254;CMD019616;Détérioration;Élevée
I000255;CMD023341;Détérioration;Élevée
I000256;CMD013425;Retard;Moyenne
I000257;CMD084067;Retard;Moyenne
I000258;CMD037634;Perte;Faible
I000259;CMD058793;Autre;Faible
I000260;CMD005967;Perte;Élevée
I000261;CMD030901;Détérioration;Élevée
I000262;CMD075086;Perte;Élevée
I000263;CMD009673;Retard;Élevée
I000264;CMD099800;Autre;Faible
I000265;CMD049960;Détérioration;Moyenne
I000266;CMD030090;Détérioration;Moyenne
I000267;CMD097910;Perte;Élevée
I000268;CMD051717;Détérioration;Élevée
I000269;CMD007402;Détérioration;Faible
I000270;CMD045936;Perte;Élevée
I000271;CMD047171;Retard;Élevée
I000272;CMD062775;Détérioration;Faible
I000273;CMD097901;Retard;Faible
I000274;CMD005790;Détérioration;Faible
I000275;CMD070892;Retard;Moyenne
I000276;CMD056258;Autre;Élevée
I000277;CMD075070;Retard;Faible
I000278;CMD044736;Détérioration;Élevée
I000279;CMD032134;Retard;Faible
I000280;CMD015450;Retard;Faible
I000281;CMD096210;Détérioration;Élevée
I000282;CMD080046;Perte;Moyenne
I000283;CMD067425;Perte;Élevée
I000284;CMD087613;Détérioration;Moyenne
I000285;CMD011851;Perte;Faible
I000286;CMD088432;Détérioration;Moyenne
I000287;CMD098402;Retard;Élevée
I000288;CMD069332;Autre;Moyenne
I000289;CMD042973;Détérioration;Faible
I000290;CMD084112;Retard;Moyenne
I000291;CMD065573;Détérioration;Élevée
I000292;CMD059231;Retard;Élevée
I000293;CMD099487;Perte;Faible
I000294;CMD050794;Détérioration;Moyenne
I000295;CMD024419;Autre;Moyenne
I000296;CMD072661;Perte;Faible
I000297;CMD002750;Retard;Faible
I000298;CMD026561;Perte;Moyenne
I000299;CMD006111;Perte;Moyenne
I000300;CMD056417;Perte;Faible
I000301;CMD075024;Autre;Faible
I000302;CMD018583;Retard;Faible
I000303;CMD099722;Retard;Faible
I000304;CMD051176;Détérioration;Faible
I000305;CMD082015;Détérioration;Faible
I000306;CMD089901;Retard;Moyenne
I000307;CMD028953;Autre;Élevée
I000308;CMD088447;Autre;Moyenne
I000309;CMD091915;Perte;Faible
I000310;CMD004797;Autre;Faible
I000311;CMD085941;Détérioration;Moyenne
I000312;CMD040255;Détérioration;Élevée
I000313;CMD031062;Perte;Moyenne
I000314;CMD004842;Détérioration;Faible
I000315;CMD079206;Autre;Moyenne
I000316;CMD069840;Perte;Faible
I000317;CMD050992;Détérioration;Élevée
I000318;CMD072798;Perte;Élevée
I000319;CMD002173;Autre;Faible
I000320;CMD013743;Retard;Élevée
I000321;CMD065658;Détérioration;Faible
I000322;CMD002242;Autre;Faible
I000323;CMD083342;Retard;Faible
I000324;CMD053040;Retard;Élevée
I000325;CMD029668;Détérioration;Moyenne
I000326;CMD011516;Autre;Faible
I000327;CMD007807;Détérioration;Moyenne
I000328;CMD045923;Retard;Faible
I000329;CMD054364;Autre;Faible
I000330;CMD096422;Retard;Élevée
I000331;CMD087151;Autre;Moyenne
I000332;CMD071284;Retard;Élevée
I000333;CMD006487;Retard;Faible
I000334;CMD006827;Autre;Moyenne
I000335;CMD053549;Retard;Élevée
I000336;CMD050237;Autre;Élevée
I000337;CMD098239;Retard;Faible
I000338;CMD043398;Détérioration;Moyenne
I000339;CMD038525;Retard;Élevée
I000340;CMD012875;Détérioration;Élevée
I000341;CMD042229;Détérioration;Moyenne
I000342;CMD009122;Autre;Faible
I000343;CMD072064;Détérioration;Élevée
I000344;CMD094312;Détérioration;Moyenne
I000345;CMD077997;Détérioration;Élevée
I000346;CMD004529;Détérioration;Faible
I000347;CMD065808;Détérioration;Faible
I000348;CMD071319;Détérioration;Élevée
I000349;CMD009237;Retard;Élevée
I000350;CMD013147;Autre;Élevée
I000351;CMD042814;Perte;Moyenne
I000352;CMD066449;Perte;Moyenne
I000353;CMD043725;Autre;Faible
I000354;CMD094917;Retard;Moyenne
I000355;CMD078188;Détérioration;Faible
I000356;CMD052632;Perte;Élevée
I000357;CMD050940;Perte;Faible
I000358;CMD044178;Détérioration;Élevée
I000359;CMD041186;Détérioration;Moyenne
I000360;CMD027569;Autre;Élevée
I000361;CMD040506;Détérioration;Élevée
I000362;CMD007092;Retard;Faible
I000363;CMD077119;Retard;Moyenne
I000364;CMD045468;Perte;Moyenne
I000365;CMD017591;Autre;Moyenne
I000366;CMD082119;Perte;Élevée
I000367;CMD047707;Retard;Élevée
I000368;CMD050256;Perte;Faible
I000369;CMD018389;Détérioration;Moyenne
I000370;CMD060799;Retard;Élevée
I000371;CMD047139;Détérioration;Faible
I000372;CMD090085;Retard;Élevée
I000373;CMD044126;Détérioration;Moyenne
I000374;CMD058539;Perte;Moyenne
I000375;CMD046440;Autre;Élevée
I000376;CMD085849;Autre;Faible
I000377;CMD062108;Retard;Faible
I000378;CMD072485;Retard;Moyenne
I000379;CMD097718;Autre;Faible
I000380;CMD000570;Détérioration;Élevée
I000381;CMD028288;Retard;Faible
I000382;CMD019281;Perte;Faible
I000383;CMD044799;Retard;Faible
I000384;CMD029684;Perte;Faible
I000385;CMD073882;Retard;Élevée
I000386;CMD040333;Retard;Moyenne
I000387;CMD049417;Détérioration;Faible
I000388;CMD009678;Retard;Élevée
I000389;CMD092346;Retard;Élevée
I000390;CMD010413;Retard;Moyenne
I000391;CMD037752;Perte;Élevée
I000392;CMD052831;Autre;Moyenne
I000393;CMD008997;Perte;Faible
I000394;CMD047834;Autre;Moyenne
I000395;CMD041710;Perte;Moyenne
I000396;CMD022986;Détérioration;Élevée
I000397;CMD005364;Autre;Moyenne
I000398;CMD098687;Autre;Moyenne
I000399;CMD017994;Autre;Élevée
I000400;CMD035028;Détérioration;Faible
I000401;CMD041021;Détérioration;Élevée
I000402;CMD067788;Perte;Faible
I000403;CMD088118;Retard;Faible
I000404;CMD074287;Autre;Moyenne
I000405;CMD073849;Retard;Moyenne
I000406;CMD054012;Perte;Élevée
I000407;CMD056543;Détérioration;Faible
I000408;CMD057701;Retard;Faible
I000409;CMD038251;Retard;Moyenne
I000410;CMD005231;Autre;Élevée
I000411;CMD058727;Autre;Faible
I000412;CMD084006;Détérioration;Faible
I000413;CMD097474;Détérioration;Élevée
I000414;CMD095444;Perte;Moyenne
I000415;CMD088635;Autre;Faible
I000416;CMD009485;Retard;Moyenne
I000417;CMD068169;Perte;Faible
I000418;CMD089725;Retard;Moyenne
I000419;CMD036332;Perte;Élevée
I000420;CMD081939;Perte;Élevée
I000421;CMD078011;Perte;Faible
I000422;CMD082101;Détérioration;Élevée
I000423;CMD028918;Détérioration;Faible
I000424;CMD071995;Retard;Faible
I000425;CMD010920;Perte;Faible
I000426;CMD080959;Détérioration;Élevée
I000427;CMD028130;Détérioration;Faible
I000428;CMD070244;Perte;Élevée
I000429;CMD074160;Retard;Faible
I000430;CMD001113;Retard;Moyenne
I000431;CMD008775;Perte;Faible
I000432;CMD068822;Retard;Faible
I000433;CMD072714;Autre;Moyenne
I000434;CMD095452;Retard;Élevée
I000435;CMD028563;Perte;Élevée
I000436;CMD028763;Perte;Faible
I000437;CMD043627;Détérioration;Moyenne
I000438;CMD048553;Perte;Moyenne
I000439;CMD079993;Perte;Moyenne
I000440;CMD037273;Autre;Faible
I000441;CMD002028;Détérioration;Élevée
I000442;CMD012947;Perte;Faible
I000443;CMD024767;Détérioration;Moyenne
I000444;CMD092991;Détérioration;Faible
I000445;CMD038819;Retard;Faible
I000446;CMD064258;Autre;Moyenne
I000447;CMD076217;Détérioration;Moyenne
I000448;CMD061028;Perte;Moyenne
I000449;CMD079637;Détérioration;Moyenne
I000450;CMD043374;Autre;Élevée
I000451;CMD059043;Autre;Moyenne
I000452;CMD030632;Détérioration;Élevée
I000453;CMD033487;Autre;Élevée
I000454;CMD053577;Détérioration;Élevée
I000455;CMD074114;Détérioration;Faible
I000456;CMD007343;Perte;Moyenne
I000457;CMD073267;Autre;Moyenne
I000458;CMD058250;Détérioration;Élevée
I000459;CMD004057;Perte;Élevée
I000460;CMD082597;Perte;Élevée
I000461;CMD060342;Retard;Élevée
I000462;CMD023605;Autre;Élevée
I000463;CMD087283;Détérioration;Élevée
I000464;CMD074611;Détérioration;Moyenne
I000465;CMD032458;Autre;Élevée
I000466;CMD001332;Autre;Élevée
I000467;CMD065614;Perte;Faible
I000468;CMD083433;Retard;Moyenne
I000469;CMD016042;Détérioration;Moyenne
I000470;CMD068166;Détérioration;Moyenne
I000471;CMD052895;Retard;Moyenne
I000472;CMD093252;Détérioration;Élevée
I000473;CMD034146;Autre;Moyenne
I000474;CMD007711;Retard;Élevée
I000475;CMD011462;Détérioration;Moyenne
I000476;CMD005952;Autre;Moyenne
I000477;CMD018344;Perte;Faible
I000478;CMD007731;Retard;Moyenne
I000479;CMD006657;Retard;Moyenne
I000480;CMD009905;Perte;Élevée
I000481;CMD041389;Autre;Faible
I000482;CMD006999;Autre;Moyenne
I000483;CMD055792;Retard;Faible
I000484;CMD007789;Détérioration;Moyenne
I000485;CMD023331;Perte;Faible
I000486;CMD050017;Perte;Élevée
I000487;CMD051614;Perte;Faible
I000488;CMD034983;Perte;Moyenne
I000489;CMD057013;Retard;Élevée
I000490;CMD087718;Autre;Faible
I000491;CMD091444;Retard;Moyenne
I000492;CMD023286;Retard;Faible
I000493;CMD001482;Retard;Élevée
I000494;CMD006052;Retard;Faible
I000495;CMD079920;Autre;Moyenne
I000496;CMD029898;Détérioration;Élevée
I000497;CMD028697;Retard;Élevée
I000498;CMD029802;Perte;Moyenne
I000499;CMD095789;Détérioration;Élevée
I000500;CMD088292;Détérioration;Moyenne
I000501;CMD015350;Autre;Faible
I000502;CMD013779;Détérioration;Moyenne
I000503;CMD030250;Détérioration;Faible
I000504;CMD092900;Autre;Moyenne
I000505;CMD065279;Détérioration;Faible
I000506;CMD080437;Autre;Moyenne
I000507;CMD015104;Retard;Faible
I000508;CMD033164;Détérioration;Faible
I000509;CMD047870;Détérioration;Faible
I000510;CMD073924;Perte;Élevée
I000511;CMD027183;Retard;Élevée
I000512;CMD061418;Détérioration;Moyenne
I000513;CMD041111;Détérioration;Moyenne
I000514;CMD096104;Détérioration;Élevée
I000515;CMD018023;Retard;Moyenne
I000516;CMD055964;Autre;Moyenne
I000517;CMD065626;Autre;Faible
I000518;CMD010787;Perte;Élevée
I000519;CMD039747;Détérioration;Faible
I000520;CMD080564;Autre;Élevée
I000521;CMD031060;Détérioration;Élevée
I000522;CMD093919;Retard;Élevée
I000523;CMD026768;Perte;Faible
I000524;CMD036556;Détérioration;Faible
I000525;CMD057022;Autre;Faible
I000526;CMD017862;Autre;Faible
I000527;CMD054157;Détérioration;Faible
I000528;CMD029750;Perte;Élevée
I000529;CMD088067;Perte;Faible
I000530;CMD046764;Détérioration;Élevée
I000531;CMD065852;Autre;Élevée
I000532;CMD095918;Autre;Élevée
I000533;CMD017041;Détérioration;Élevée
I000534;CMD000798;Retard;Élevée
I000535;CMD067192;Perte;Élevée
I000536;CMD096414;Perte;Faible
I000537;CMD014033;Retard;Élevée
I000538;CMD039666;Détérioration;Moyenne
I000539;CMD092237;Autre;Élevée
I000540;CMD063538;Détérioration;Moyenne
I000541;CMD021664;Retard;Faible
I000542;CMD020501;Autre;Moyenne
I000543;CMD004906;Autre;Élevée
I000544;CMD077389;Retard;Moyenne
I000545;CMD086538;Perte;Élevée
I000546;CMD060369;Autre;Élevée
I000547;CMD028345;Autre;Élevée
I000548;CMD067055;Perte;Faible
I000549;CMD055311;Autre;Élevée
I000550;CMD063239;Autre;Élevée
I000551;CMD080080;Détérioration;Faible
I000552;CMD098424;Détérioration;Élevée
I000553;CMD049734;Retard;Élevée
I000554;CMD016510;Retard;Faible
I000555;CMD005194;Perte;Moyenne
I000556;CMD052284;Autre;Élevée
I000557;CMD072568;Perte;Élevée
I000558;CMD055782;Détérioration;Élevée
I000559;CMD046217;Retard;Moyenne
I000560;CMD059588;Autre;Élevée
I000561;CMD017779;Autre;Faible
I000562;CMD096791;Perte;Élevée
I000563;CMD025843;Autre;Faible
I000564;CMD046022;Perte;Moyenne
I000565;CMD031004;Perte;Faible
I000566;CMD024255;Perte;Faible
I000567;CMD010105;Retard;Élevée
I000568;CMD052855;Retard;Moyenne
I000569;CMD071135;Perte;Moyenne
I000570;CMD046554;Détérioration;Élevée
I000571;CMD088816;Retard;Faible
I000572;CMD050769;Perte;Élevée
I000573;CMD080445;Perte;Élevée
I000574;CMD059067;Détérioration;Faible
I000575;CMD062419;Retard;Faible
I000576;CMD034741;Autre;Moyenne
I000577;CMD095368;Perte;Moyenne
I000578;CMD028370;Autre;Faible
I000579;CMD087991;Perte;Élevée
I000580;CMD017112;Retard;Faible
I000581;CMD014512;Retard;Faible
I000582;CMD035857;Retard;Faible
I000583;CMD020232;Retard;Élevée
I000584;CMD082589;Autre;Faible
I000585;CMD031300;Retard;Faible
I000586;CMD092563;Retard;Moyenne
I000587;CMD093076;Autre;Faible
I000588;CMD031956;Perte;Faible
I000589;CMD000582;Perte;Élevée
I000590;CMD066116;Perte;Moyenne
I000591;CMD094690;Détérioration;Élevée
I000592;CMD023478;Retard;Faible
I000593;CMD083582;Retard;Faible
I000594;CMD067302;Perte;Élevée
I000595;CMD063795;Détérioration;Faible
I000596;CMD078380;Retard;Moyenne
I000597;CMD090300;Détérioration;Faible
I000598;CMD077022;Détérioration;Faible
I000599;CMD073722;Perte;Faible
I000600;CMD023749;Retard;Élevée
I000601;CMD070981;Détérioration;Faible
I000602;CMD024743;Retard;Faible
I000603;CMD075609;Autre;Moyenne
I000604;CMD000030;Perte;Moyenne
I000605;CMD083720;Autre;Élevée
I000606;CMD016539;Autre;Faible
I000607;CMD037407;Autre;Faible
I000608;CMD059109;Perte;Faible
I000609;CMD051107;Autre;Élevée
I000610;CMD026346;Perte;Moyenne
I000611;CMD036281;Retard;Faible
I000612;CMD075493;Détérioration;Élevée
I000613;CMD081921;Autre;Moyenne
I000614;CMD065745;Autre;Moyenne
I000615;CMD089031;Retard;Faible
I000616;CMD007803;Autre;Faible
I000617;CMD099271;Perte;Élevée
I000618;CMD045411;Autre;Moyenne
I000619;CMD066418;Détérioration;Moyenne
I000620;CMD083704;Détérioration;Faible
I000621;CMD084965;Retard;Élevée
I000622;CMD023923;Perte;Moyenne
I000623;CMD035879;Autre;Élevée
I000624;CMD083610;Perte;Élevée
I000625;CMD057201;Détérioration;Élevée
I000626;CMD059272;Autre;Moyenne
I000627;CMD091232;Autre;Élevée
I000628;CMD082668;Détérioration;Faible
I000629;CMD050219;Autre;Moyenne
I000630;CMD004541;Retard;Élevée
I000631;CMD099855;Perte;Élevée
I000632;CMD090435;Perte;Moyenne
I000633;CMD029722;Perte;Faible
I000634;CMD035491;Retard;Faible
I000635;CMD096866;Détérioration;Faible
I000636;CMD044074;Perte;Faible
I000637;CMD073062;Détérioration;Faible
I000638;CMD052213;Autre;Élevée
I000639;CMD021753;Retard;Faible
I000640;CMD020551;Détérioration;Moyenne
I000641;CMD030000;Autre;Moyenne
I000642;CMD085523;Détérioration;Élevée
I000643;CMD047374;Perte;Élevée
I000644;CMD034181;Perte;Moyenne
I000645;CMD009331;Détérioration;Élevée
I000646;CMD067870;Retard;Moyenne
I000647;CMD030930;Autre;Élevée
I000648;CMD002254;Perte;Faible
I000649;CMD062545;Retard;Moyenne
I000650;CMD012589;Perte;Élevée
I000651;CMD051206;Retard;Élevée
I000652;CMD083567;Perte;Élevée
I000653;CMD026293;Perte;Moyenne
I000654;CMD096593;Perte;Élevée
I000655;CMD015698;Détérioration;Moyenne
I000656;CMD019522;Détérioration;Élevée
I000657;CMD053289;Autre;Élevée
I000658;CMD093007;Retard;Élevée
I000659;CMD072852;Détérioration;Faible
I000660;CMD090400;Autre;Faible
I000661;CMD056164;Retard;Moyenne
I000662;CMD080553;Autre;Faible
I000663;CMD011691;Retard;Élevée
I000664;CMD090856;Autre;Faible
I000665;CMD018964;Détérioration;Moyenne
I000666;CMD057789;Détérioration;Élevée
I000667;CMD071691;Retard;Élevée
I000668;CMD076150;Perte;Faible
I000669;CMD096386;Retard;Élevée
I000670;CMD040207;Autre;Faible
I000671;CMD097952;Autre;Élevée
I000672;CMD060482;Détérioration;Élevée
I000673;CMD068889;Retard;Moyenne
I000674;CMD057377;Autre;Faible
I000675;CMD068876;Retard;Moyenne
I000676;CMD026252;Retard;Moyenne
I000677;CMD099301;Détérioration;Faible
I000678;CMD046638;Perte;Élevée
I000679;CMD009094;Détérioration;Faible
I000680;CMD091837;Détérioration;Faible
I000681;CMD059531;Autre;Moyenne
I000682;CMD033178;Perte;Faible
I000683;CMD025819;Perte;Moyenne
I000684;CMD067041;Perte;Moyenne
I000685;CMD026394;Autre;Élevée
I000686;CMD053016;Détérioration;Moyenne
I000687;CMD008690;Perte;Moyenne
I000688;CMD086566;Perte;Élevée
I000689;CMD062045;Perte;Moyenne
I000690;CMD008186;Perte;Élevée
I000691;CMD069742;Détérioration;Élevée
I000692;CMD044274;Retard;Moyenne
I000693;CMD063562;Détérioration;Faible
I000694;CMD072872;Autre;Faible
I000695;CMD078809;Détérioration;Faible
I000696;CMD021181;Retard;Faible
I000697;CMD002233;Détérioration;Faible
I000698;CMD070097;Perte;Faible
I000699;CMD084025;Détérioration;Faible
I000700;CMD042789;Retard;Élevée
I000701;CMD052334;Perte;Élevée
I000702;CMD086897;Détérioration;Moyenne
I000703;CMD088108;Perte;Moyenne
I000704;CMD077632;Autre;Élevée
I000705;CMD065476;Autre;Élevée
I000706;CMD041946;Autre;Élevée
I000707;CMD026880;Autre;Faible
I000708;CMD023611;Autre;Élevée
I000709;CMD084478;Retard;Élevée
I000710;CMD098044;Autre;Élevée
I000711;CMD010100;Retard;Faible
I000712;CMD028088;Autre;Faible
I000713;CMD077785;Autre;Élevée
I000714;CMD050080;Détérioration;Élevée
I000715;CMD064451;Perte;Faible
I000716;CMD042935;Autre;Moyenne
